2025-09-29 02:04:18,802 [INFO] Iniciando treinamento do modelo mlp_att10_CM
2025-09-29 02:04:18,802 [INFO] Configuração: att_index=10, epochs=30, layers=[32, 16], lr=0.001, batch_size=32, descriptor_type=CM
2025-09-29 02:04:18,802 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-09-29 02:04:18,802 [INFO] Carregando dados...
2025-09-29 02:04:18,895 [INFO] Preparando dataloaders sem ruído...
2025-09-29 02:04:19,589 [INFO] Dados carregados em 0.79 segundos
2025-09-29 02:04:19,589 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-09-29 02:04:19,590 [INFO] Usando dispositivo: cuda
2025-09-29 02:04:19,954 [INFO] Dimensão de entrada: 29, Dimensão de saída: 1
2025-09-29 02:04:19,955 [INFO] Criando modelo MLP com camadas: [32, 16]
2025-09-29 02:04:19,957 [INFO] Modelo criado com 1505 parâmetros
2025-09-29 02:04:19,958 [INFO] Iniciando treinamento com 30 épocas...
2025-09-29 02:04:20,500 [INFO] Época 1/30, Batch 50/3348, Loss: 0.4971
2025-09-29 02:04:20,747 [INFO] Época 1/30, Batch 100/3348, Loss: 0.1525
2025-09-29 02:04:20,992 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0611
2025-09-29 02:04:21,236 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0678
2025-09-29 02:04:21,480 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0403
2025-09-29 02:04:21,723 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0367
2025-09-29 02:04:21,966 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0249
2025-09-29 02:04:22,208 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0388
2025-09-29 02:04:22,450 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0243
2025-09-29 02:04:22,703 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0233
2025-09-29 02:04:22,946 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0165
2025-09-29 02:04:23,189 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0149
2025-09-29 02:04:23,435 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0179
2025-09-29 02:04:23,672 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0243
2025-09-29 02:04:23,906 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0187
2025-09-29 02:04:24,139 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0272
2025-09-29 02:04:24,373 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0219
2025-09-29 02:04:24,606 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0180
2025-09-29 02:04:24,841 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0266
2025-09-29 02:04:25,074 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0173
2025-09-29 02:04:25,310 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0134
2025-09-29 02:04:25,543 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0145
2025-09-29 02:04:25,782 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0145
2025-09-29 02:04:26,026 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0103
2025-09-29 02:04:26,269 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0129
2025-09-29 02:04:26,512 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0111
2025-09-29 02:04:26,757 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0171
2025-09-29 02:04:27,003 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0104
2025-09-29 02:04:27,248 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0098
2025-09-29 02:04:27,492 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0140
2025-09-29 02:04:27,740 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0074
2025-09-29 02:04:27,984 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0099
2025-09-29 02:04:28,226 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0145
2025-09-29 02:04:28,469 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0107
2025-09-29 02:04:28,712 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0091
2025-09-29 02:04:28,952 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0061
2025-09-29 02:04:29,194 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0107
2025-09-29 02:04:29,436 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0089
2025-09-29 02:04:29,681 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0135
