2025-10-09 15:23:30,175 [INFO] Iniciando treinamento do modelo mlp_att0_CM
2025-10-09 15:23:30,176 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=CM
2025-10-09 15:23:30,176 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 15:23:30,176 [INFO] Carregando dados...
2025-10-09 15:23:30,255 [INFO] Preparando dataloaders sem ruído...
2025-10-09 15:23:30,891 [INFO] Dados carregados em 0.72 segundos
2025-10-09 15:23:30,892 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-09 15:23:30,892 [INFO] Usando dispositivo: cuda
2025-10-09 15:23:31,096 [INFO] Dimensão de entrada: 29, Dimensão de saída: 1
2025-10-09 15:23:31,097 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 15:23:31,099 [INFO] Modelo criado com 14209 parâmetros
2025-10-09 15:23:31,101 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 15:23:31,542 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0044
2025-10-09 15:23:31,808 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0033
2025-10-09 15:23:32,071 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0027
2025-10-09 15:23:32,334 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0014
2025-10-09 15:23:32,597 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0015
2025-10-09 15:23:32,862 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0009
2025-10-09 15:23:33,126 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0011
2025-10-09 15:23:33,392 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0006
2025-10-09 15:23:33,663 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0007
2025-10-09 15:23:33,925 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0009
2025-10-09 15:23:34,179 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0009
2025-10-09 15:23:34,431 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0009
2025-10-09 15:23:34,684 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0007
2025-10-09 15:23:34,938 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0006
2025-10-09 15:23:35,191 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0008
2025-10-09 15:23:35,443 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0005
2025-10-09 15:23:35,695 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0004
2025-10-09 15:23:35,948 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0006
2025-10-09 15:23:36,198 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0005
2025-10-09 15:23:36,439 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0003
2025-10-09 15:23:36,682 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0003
2025-10-09 15:23:36,929 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0003
2025-10-09 15:23:37,188 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0006
2025-10-09 15:23:37,450 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0004
2025-10-09 15:23:37,717 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0004
2025-10-09 15:23:37,981 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0009
2025-10-09 15:23:38,245 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0003
